question,options,answer,answer_idx,dataset_source
"A woman with coronary artery disease is starting to go for a walk. As she begins, her heart rate accelerates from a resting pulse of 60 bpm until it reaches a rate of 120 bpm, at which point she begins to feel a tightening in her chest. She stops walking to rest and the tightening resolves. This has been happening to her consistently for the last 6 months. Which of the following is a true statement?","{""A"": ""Increasing the heart rate increases the amount of time spent during each cardiac cycle"", ""B"": ""Increasing the heart rate decreases the relative amount of time spent during diastole"", ""C"": ""Perfusion of the myocardium takes place primarily during systole"", ""D"": ""Perfusion of the myocardium takes place equally throughout the cardiac cycle""}",Increasing the heart rate decreases the relative amount of time spent during diastole,B,Med-QA
"A 53-year-old woman comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. She also reports malaise and generalized muscle aches. She works as a teacher at a local high school, where there was recently an outbreak of influenza. She has a history of intermittent asthma, for which she takes albuterol as needed. She declined the influenza vaccine offered in the fall because her sister told her that a friend developed a flulike illness after receiving the vaccine. She is worried about possibly becoming ill and cannot afford to miss work. Her temperature is 37.9°C (100.3°F), heart rate is 58/min, and her respirations are 12/min. Physical examination is unremarkable. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?","{""A"": ""Supportive therapy only"", ""B"": ""Amantadine"", ""C"": ""Inactivated influenza vaccine"", ""D"": ""Oseltamivir""}",Oseltamivir,D,Med-QA
"A 45-year-old man is transferred to the intensive care unit from the emergency department for acute respiratory failure. He was rushed to the hospital after developing progressive respiratory distress over the last 24 hours. His medical history is significant for long-standing severe persistent asthma, hypertension, and several bouts of community and hospital-acquired pneumonia. His medications include amlodipine, lisinopril, inhaled fluticasone, salmeterol, and oral prednisone. He is a lifelong non-smoker and drinks alcohol occasionally on the weekends. He works as a sales executive and went to Hawaii a month ago. In the emergency department, he was started on broad-spectrum antibiotics and bronchodilators. His respiratory failure progressively worsens, and on day 2 of admission, he requires mechanical ventilator support. Chest X-ray shows multiple nodules bilaterally in the lower lobes. Flexible bronchoscopy is performed and the bronchoalveolar lavage sample from the medial segment of the right lower lobe shows neutrophils, and the fungal preparation shows Aspergillus fumigatus. A video-assisted thoracoscopy is performed and biopsy from the right lower lobe is taken which shows plugging of the terminal bronchioles with mucus, inflammatory cells, and fungal vascular invasion. Which of the following is the most likely mechanism responsible for the biopsy findings?","{""A"": ""Defects in the immune response"", ""B"": ""Aspergillus fumigatus suppresses the production of IgA"", ""C"": ""Aspergillus fumigatus suppresses the production of IgM"", ""D"": ""Suppression of the innate immune system by Aspergillus fumigatus""}",Defects in the immune response,A,Med-QA
"A 40-year-old woman comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in her legs. Two weeks ago, she returned from a vacation to Brazil, where she spent most of her days exploring the city of Rio de Janeiro on foot. She also gained 3 kg (7 lb) during her vacation. She has systemic lupus erythematosus. Her only medication is hydroxychloroquine. Her temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows:
Blood 3+
Protein 1+
RBC 6–8/hpf with dysmorphic features
RBC casts numerous
WBC 8/hpf
WBC casts rare
Bacteria negative
Which of the following is the most likely cause of this patient's leg findings?""","{""A"": ""Venous insufficiency"", ""B"": ""Lymphatic obstruction"", ""C"": ""Renal protein loss"", ""D"": ""Salt retention""}",Salt retention,D,Med-QA
"A 67-year-old woman with advanced bladder cancer comes to the physician for a follow-up examination. She is currently undergoing chemotherapy with an agent that forms cross-links between DNA strands. Serum studies show a creatinine concentration of 2.1 mg/dL and a blood urea nitrogen concentration of 30 mg/dL. Urine dipstick of a clean-catch midstream specimen shows 2+ protein and 1+ glucose. Prior to initiation of chemotherapy, her laboratory values were within the reference range. In addition to hydration, administration of which of the following would most likely have prevented this patient's current condition?","{""A"": ""Mesna"", ""B"": ""Amifostine"", ""C"": ""Rasburicase"", ""D"": ""Leucovorin""}",Amifostine,B,Med-QA
"A 5-year-old boy presents with altered mental status and difficulty breathing for the past couple of hours. The patient’s father, a mechanic, says the boy accidentally ingested an unknown amount of radiator fluid. The patient’s vital signs are: temperature 37.1°C (98.8.F), pulse 116/min, blood pressure 98/78 mm Hg, and respiratory rate 42/min. On physical examination, cardiopulmonary auscultation reveals deep, rapid respirations with no wheezing, rhonchi, or crepitations. An ABG reveals the blood pH to be 7.2 with an anion gap of 16 mEq/L. Urinalysis reveals the presence of oxalate crystals. Which of the following is the most appropriate antidote for the poison that this patient has ingested?","{""A"": ""Flumazenil"", ""B"": ""Succimer"", ""C"": ""Methylene blue"", ""D"": ""Fomepizole""}",Fomepizole,D,Med-QA
"A newborn male is evaluated in the hospital nursery 24 hours after birth for cyanosis. The patient was born at 38 weeks gestation to a 36-year-old gravida 3 via cesarean section for fetal distress. The patient’s mother received inconsistent prenatal care, and the delivery was uncomplicated. The patient’s Apgar evaluation was notable for acrocyanosis at both 1 and 5 minutes of life. The patient’s mother denies any family history of congenital heart disease. The patient’s father has a past medical history of hypertension, and one of the patient’s older siblings was recently diagnosed with autism spectrum disorder. The patient’s birth weight was 3180 g (7 lb 0 oz). In the hospital nursery, his temperature is 99.3°F (37.4°C), blood pressure is 66/37 mmHg, pulse is 179/min, and respirations are 42/min. On physical exam, the patient is in moderate distress. He has low-set ears, orbital hypertelorism, and a cleft palate. The patient is centrally cyanotic. A chest CT shows thymic hypoplasia. Echocardiography demonstrates a single vessel emanating from both the right and left ventricle.

This patient should be urgently evaluated for which of the following acute complications?","{""A"": ""Cerebral edema"", ""B"": ""Hypoglycemia"", ""C"": ""Neuromuscular irritability"", ""D"": ""Shortening of the QT interval""}",Neuromuscular irritability,C,Med-QA
"A 36-year-old man is admitted to the hospital because of a 1-day history of epigastric pain and vomiting. He has had similar episodes of epigastric pain in the past. He drinks 8 oz of vodka daily. Five days after admission, the patient develops aspiration pneumonia and sepsis. Despite appropriate therapy, the patient dies. At autopsy, the pancreas appears gray, enlarged, and nodular. Microscopic examination of the pancreas shows localized deposits of calcium. This finding is most similar to an adaptive change that can occur in which of the following conditions?","{""A"": ""Primary hyperparathyroidism"", ""B"": ""Chronic kidney disease"", ""C"": ""Sarcoidosis"", ""D"": ""Congenital CMV infection""}",Congenital CMV infection,D,Med-QA
"A 65-year-old man with hypertension comes to the physician for a routine health maintenance examination. Current medications include atenolol, lisinopril, and atorvastatin. His pulse is 86/min, respirations are 18/min, and blood pressure is 145/95 mm Hg. Cardiac examination is shown. Which of the following is the most likely cause of this physical examination finding?","{""A"": ""Decreased compliance of the left ventricle"", ""B"": ""Myxomatous degeneration of the mitral valve"", ""C"": ""Inflammation of the pericardium"", ""D"": ""Dilation of the aortic root""}",Decreased compliance of the left ventricle,A,Med-QA
"A 62-year-old woman has been receiving amoxicillin for acute sinusitis for 12 days. She develops a macular rash on her neck, back, and torso. The amoxicillin is therefore changed to cephalexin for an additional week. The rash resolves, but she returns complaining of fatigue, flank pain, and fever that has persisted despite the resolution of the sinusitis. She has a history of essential hypertension, hyperlipidemia, and gastric reflux. She has been on a stable regimen of lisinopril, simvastatin, and omeprazole. Today, her vital signs reveal: temperature 37.9°C (100.2°F), blood pressure 145/90 mm Hg, regular pulse 75/min, and respirations 16/min. The physical examination is unremarkable. Serum urea and creatinine are elevated. Urinalysis shows leukocyturia, but urine bacterial culture is negative. A urine cytospin stained with Hansel’s solution reveals 3% binucleated cells with eosinophilic, granular cytoplasm. Which of the following is the most likely diagnosis?","{""A"": ""Acute interstitial nephritis"", ""B"": ""Acute glomerulonephritis"", ""C"": ""Acute tubular necrosis"", ""D"": ""IgA nephropathy""}",Acute interstitial nephritis,A,Med-QA
